year,İBBS3,city,population,total_cases,carried_over_from,opened_inside_year,finished,carried_over_to,returned,area
2021,TR100,İstanbul,15099946.0,2378387,1536743,841644,836525,1541862,12697,5461
2021,TR211,Tekirdağ,1105759.0,127163,59444,67719,62603,64560,516,6190
2021,TR212,Edirne,406215.0,50363,24888,25475,27064,23299,457,6145
2021,TR213,Kırklareli,363245.0,31716,12732,18984,18939,12777,215,6459
2021,TR221,Balıkesir,1238619.0,139589,66047,73542,74267,65322,913,14583
2021,TR222,Çanakkale,551237.0,59157,25710,33447,33954,25203,426,9817
2021,TR310,İzmir,4391056.0,611955,306414,305541,289353,322602,2738,11891
2021,TR321,Aydın,1121941.0,179808,92270,87538,85850,93958,977,8116
2021,TR322,Denizli,1035065.0,108234,48757,59477,61448,46786,496,12134
2021,TR323,Muğla,998594.0,146909,63779,83130,78778,68131,1012,12654
2021,TR331,Manisa,1447072.0,145620,69517,76103,75321,70299,903,13339
2021,TR332,Afyonkarahisar,731760.0,66428,27852,38576,37324,29104,347,14016
2021,TR333,Kütahya,566867.0,43732,17779,25953,24659,19073,222,11634
2021,TR334,Uşak,364712.0,41381,17389,23992,24024,17357,268,5555
2021,TR411,Bursa,3093542.0,368609,182428,186181,175307,193302,1070,10813
2021,TR412,Eskişehir,872007.0,116221,54113,62108,62989,53232,577,13960
2021,TR413,Bilecik,224818.0,24853,7943,16910,15139,9714,176,4179
2021,TR421,Kocaeli,2016057.0,194126,107497,86629,89200,104926,1577,3397
2021,TR422,Sakarya,1032790.0,94669,42687,51982,48369,46300,639,4824
2021,TR423,Düzce,393998.0,39639,19517,20122,18992,20647,236,2492
2021,TR424,Bolu,308937.0,30421,11083,19338,18883,11538,147,8313
2021,TR425,Yalova,259901.0,32364,11557,20807,19333,13031,323,798
2021,TR510,Ankara,5574061.0,809514,446593,362921,381335,428179,3023,25632
2021,TR521,Konya,2246531.0,233131,114670,118461,116530,116601,1581,40838
2021,TR522,Karaman,255637.0,25707,10560,15147,16032,9675,229,8678
2021,TR611,Antalya,2482886.0,375684,199950,175734,179397,196287,1824,20177
2021,TR612,Isparta,435515.0,43496,17064,26432,26905,16591,394,8946
2021,TR613,Burdur,268601.0,28572,12076,16496,17482,11090,238,7175
2021,TR621,Adana,2247474.0,245731,132916,112815,109810,135921,1485,13844
2021,TR622,Mersin,1851973.0,278329,152848,125481,116787,161542,1679,16010
2021,TR631,Hatay,1665619.0,174680,93380,81300,79516,95164,1347,5524
2021,TR632,Kahramanmaraş,1167038.0,94460,44209,50251,53210,41250,825,14520
2021,TR633,Osmaniye,552172.0,61150,25192,35958,37289,23861,493,3320
2021,TR711,Kırıkkale,267611.0,26882,11272,15610,14261,12621,180,4791
2021,TR712,Aksaray,411633.0,36623,17614,19009,17943,18680,163,7659
2021,TR713,Niğde,359113.0,33376,13733,19643,20182,13194,367,7234
2021,TR714,Nevşehir,298739.0,29757,11373,18384,18277,11480,198,5485
2021,TR715,Kırşehir,228939.0,17823,6234,11589,10981,6842,83,6584
2021,TR721,Kayseri,1413498.0,166472,79807,86665,79031,87441,1085,16970
2021,TR722,Sivas,628927.0,47202,16259,30943,30289,16913,345,28164
2021,TR723,Yozgat,407990.0,30527,12121,18406,17700,12827,250,13690
2021,TR811,Zonguldak,584753.0,43149,15895,27254,26262,16887,426,3342
