city,population,total_cases,carried_over_from,opened_inside_year,finished,carried_over_to,time_since_event,population_density
İstanbul,15099946.0,2378387,1536743,841644,836525,1541862,3,2765.0514557773304
Tekirdağ,1105759.0,127163,59444,67719,62603,64560,3,178.63634894991924
Edirne,406215.0,50363,24888,25475,27064,23299,3,66.10496338486574
Kırklareli,363245.0,31716,12732,18984,18939,12777,3,56.238581823811735
Balıkesir,1238619.0,139589,66047,73542,74267,65322,3,84.93581567578687
Çanakkale,551237.0,59157,25710,33447,33954,25203,3,56.15126820821025
İzmir,4391056.0,611955,306414,305541,289353,322602,3,369.27558657808424
Aydın,1121941.0,179808,92270,87538,85850,93958,3,138.23817151306062
Denizli,1035065.0,108234,48757,59477,61448,46786,3,85.30286797428712
Muğla,998594.0,146909,63779,83130,78778,68131,3,78.91528370475739
Manisa,1447072.0,145620,69517,76103,75321,70299,3,108.48429417497563
Afyonkarahisar,731760.0,66428,27852,38576,37324,29104,3,52.20890410958904
Kütahya,566867.0,43732,17779,25953,24659,19073,3,48.72503008423586
Uşak,364712.0,41381,17389,23992,24024,17357,3,65.65472547254726
Bursa,3093542.0,368609,182428,186181,175307,193302,3,286.0947008230833
Eskişehir,872007.0,116221,54113,62108,62989,53232,3,62.46468481375358
Bilecik,224818.0,24853,7943,16910,15139,9714,3,53.79708064130175
Kocaeli,2016057.0,194126,107497,86629,89200,104926,3,593.4816014130115
Sakarya,1032790.0,94669,42687,51982,48369,46300,3,214.09411276948592
Düzce,393998.0,39639,19517,20122,18992,20647,3,158.10513643659712
Bolu,308937.0,30421,11083,19338,18883,11538,3,37.163118007939374
Yalova,259901.0,32364,11557,20807,19333,13031,3,325.6904761904762
Ankara,5574061.0,809514,446593,362921,381335,428179,3,217.46492665418228
Konya,2246531.0,233131,114670,118461,116530,116601,3,55.010798765855334
Karaman,255637.0,25707,10560,15147,16032,9675,3,29.458054851348237
Antalya,2482886.0,375684,199950,175734,179397,196287,3,123.05526094067503
Isparta,435515.0,43496,17064,26432,26905,16591,3,48.6826514643416
Burdur,268601.0,28572,12076,16496,17482,11090,3,37.43567944250871
Adana,2247474.0,245731,132916,112815,109810,135921,3,162.34281999422132
Mersin,1851973.0,278329,152848,125481,116787,161542,3,115.67601499063086
Hatay,1665619.0,174680,93380,81300,79516,95164,3,301.5240767559739
Kahramanmaraş,1167038.0,94460,44209,50251,53210,41250,3,80.3745179063361
Osmaniye,552172.0,61150,25192,35958,37289,23861,3,166.31686746987953
Kırıkkale,267611.0,26882,11272,15610,14261,12621,3,55.85702358589021
Aksaray,411633.0,36623,17614,19009,17943,18680,3,53.74500587544066
Niğde,359113.0,33376,13733,19643,20182,13194,3,49.642383190489355
Nevşehir,298739.0,29757,11373,18384,18277,11480,3,54.46472196900638
Kırşehir,228939.0,17823,6234,11589,10981,6842,3,34.77202308626975
Kayseri,1413498.0,166472,79807,86665,79031,87441,3,83.2939304655274
Sivas,628927.0,47202,16259,30943,30289,16913,3,22.33088339724471
Yozgat,407990.0,30527,12121,18406,17700,12827,3,29.802045288531776
Zonguldak,584753.0,43149,15895,27254,26262,16887,3,174.97097546379413
Karabük,238560.0,20808,7243,13565,13561,7247,3,57.59536455818445
Bartın,199505.0,16706,6483,10223,10309,6397,3,85.62446351931331
Kastamonu,370350.0,30401,11430,18971,18725,11676,3,28.348897734231475
Çankırı,190026.0,14294,5211,9083,9109,5185,3,25.195704057279237
Sinop,216094.0,15725,5084,10641,9895,5830,3,37.7984957145356
Samsun,1331362.0,130696,56847,73849,77505,53191,3,136.90097686375321
Tokat,595464.0,44244,17688,26556,29191,15053,3,59.29735112527385
Çorum,516327.0,47917,19541,28376,26336,21581,3,41.54546186031542
Amasya,331125.0,25542,9185,16357,16506,9036,3,58.835287846481876
Trabzon,802351.0,53259,20755,32504,31652,21607,3,173.368841832325
Ordu,753106.0,53500,17916,35584,34654,18846,3,127.3429151166723
Giresun,444533.0,31991,11390,20601,19330,12661,3,63.75975329890993
Rize,343944.0,26341,10634,15707,15682,10659,3,89.68552803129074
Artvin,168939.0,14089,5584,8505,8165,5924,3,22.851210604625997
Gümüşhane,147898.0,9131,3381,5750,5825,3306,3,22.18026394721056
Erzurum,751977.0,46470,19184,27286,26279,20191,3,30.071862752939296
Erzincan,233631.0,18625,6589,12036,10852,7773,3,19.77410071942446
Bayburt,84467.0,4813,1836,2977,2900,1913,3,22.548585157501336
Ağrı,523527.0,40752,20595,20157,19335,21417,3,47.168844040003606
Kars,279451.0,21018,7749,13269,14217,6801,3,27.415971745315414
Iğdır,202205.0,20017,8918,11099,10648,9369,3,55.186954148471614
Ardahan,94662.0,9149,3627,5522,5175,3974,3,19.18565058775841
Malatya,803926.0,66264,25561,40703,38990,27274,3,65.5784321722816
Elazığ,585652.0,45732,19855,25877,25310,20422,3,62.41628477032932
Bingöl,282709.0,20860,9776,11084,11096,9764,3,35.32537798325628
Tunceli,83279.0,12831,6136,6695,7190,5641,3,10.983777367449221
Van,1136032.0,78934,40852,38082,37241,41693,3,54.3010372353138
Muş,404772.0,25919,12558,13361,14468,11451,3,46.429456297315895
Bitlis,352070.0,25423,12775,12648,13202,12221,3,42.44875813841331
Hakkari,276871.0,27173,13771,13402,12744,14429,3,39.02339675828048
Gaziantep,2112412.0,348570,221520,127050,114228,234342,3,310.5118330148464
Adıyaman,630523.0,37040,16868,20172,19355,17685,3,85.93744037072373
Kilis,143817.0,20560,9514,11046,9915,10645,3,101.85339943342777
Şanlıurfa,2132404.0,190046,89234,100812,99166,90880,3,110.82028895125246
Diyarbakır,1789716.0,229126,139715,89411,94095,135031,3,118.51638964307
Mardin,859648.0,63275,27764,35511,35478,27797,3,97.90979498861047
Batman,625072.0,56093,30809,25284,23335,32758,3,139.61849452758543
Şırnak,545723.0,51729,28294,23435,24283,27446,3,77.10129980220401
Siirt,331259.0,27970,12447,15523,16202,11768,3,57.94280216896974
İstanbul,15011868.0,2197808,1458710,739098,661068,1536740,4,2748.922907892327
Tekirdağ,1074236.0,115139,57940,57199,55696,59443,4,173.5437802907916
